m_nom,m_ville,m_nbEtoiles,m_prixUnitaire,m_devise
Paris Diner-croisiere sur la Seine by Bateaux Mouches,Paris,3435,184,CDN
Visite guidee pour voir les chefs-d'œuvre du musee du Louvre,Paris,9409,107,CDN
Visite guidee a Versailles et acces prioritaire avec transfert depuis l'hotel au depart de Paris,Paris,3375,86,CDN
Visite du Musee Calouste-Gulbenkian,Lisbonne,8677,10,EURO
Excursion d'une journee a Tolede (de Madrid),Madrid,2078,38,CDN
Croisiere sur la Seine,Paris,1991,25,EURO
Visite du Chateau de Lisbonne,Lisbonne,3092,29,EURO
Balade a velo dans Madrid,Madrid,4958,37,EURO
Visite guidee du Colisee,Rome,2553,131,EURO
Tour historique de Berlin,Berlin,4767,106,EURO
Tour en bateau a Nice,Nice,2084,96,EURO
Visite du palais de Porto,Porto,2652,105,EURO
Promenade dans les Jardins de Turia,Valence,1348,114,EURO
Visite de la cathedrale de Milan,Milan,4879,27,EURO
Balade en velo a Amsterdam,Amsterdam,3292,63,EURO
TAP Air Portugal TP 441 2024-10-29,Amsterdam,3292,63,EURO